,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,5,BOUET Maxime,26,AG2R La Mondiale,20,30,2:48:59,tour-of-the-alps/2013/stage-1a,2013
2,2,2,+0:02,126,ČERNÝ Josef,19,CCC Polsat Polkowice,14,18,2:48:59,tour-of-the-alps/2013/stage-1a,2013
3,3,3,+0:04,97,RODRIGUEZ Michael,23,Team Colombia,8,12,2:48:59,tour-of-the-alps/2013/stage-1a,2013
4,4,4,+0:45,174,DAL SANTO Nicola,24,Ceramica Flaminia - Fondriest,7,7,2:49:38,tour-of-the-alps/2013/stage-1a,2013
5,5,5,+0:45,114,MOYANO Enzo Josué,24,Caja Rural - Seguros RGA,6,4,2:49:38,tour-of-the-alps/2013/stage-1a,2013
6,6,6,+0:45,165,KOCHETKOV Pavel,27,RusVelo,5,3,2:49:38,tour-of-the-alps/2013/stage-1a,2013
7,7,7,+0:47,143,JANSE VAN RENSBURG Jacques,25,MTN - Qhubeka,4,2,2:49:40,tour-of-the-alps/2013/stage-1a,2013
8,8,8,+1:17,138,XU Gang,29,Champion System Pro Cycling Team,2,1,2:50:10,tour-of-the-alps/2013/stage-1a,2013
9,9,9,+6:57,81,BATTAGLIN Enrico,23,Bardiani Valvole - CSF Inox ,,,2:55:50,tour-of-the-alps/2013/stage-1a,2013
10,10,10,+6:57,93,DUQUE Leonardo Fabio,33,Team Colombia,,,2:55:50,tour-of-the-alps/2013/stage-1a,2013
11,11,11,+6:57,54,KENNAUGH Peter,23,Sky Procycling,,,2:55:50,tour-of-the-alps/2013/stage-1a,2013
12,12,12,+6:57,73,FELLINE Fabio,23,Androni Giocattoli - Venezuela,,,2:55:50,tour-of-the-alps/2013/stage-1a,2013
13,13,13,+6:57,78,RUBIANO Miguel Angel,28,Androni Giocattoli - Venezuela,,,2:55:50,tour-of-the-alps/2013/stage-1a,2013
14,14,14,+6:57,84,CANOLA Marco,24,Bardiani Valvole - CSF Inox ,,,2:55:50,tour-of-the-alps/2013/stage-1a,2013
15,15,15,+6:57,102,GARZELLI Stefano,39,Vini Fantini,,,2:55:50,tour-of-the-alps/2013/stage-1a,2013
