,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,2,▲1,126,ČERNÝ Josef,19,CCC Polsat Polkowice,10,3:05:07,+.,tour-of-the-alps/2013/stage-1b,2013
2,2,1,▼1,5,BOUET Maxime,26,AG2R La Mondiale,,0:110:11,+.,tour-of-the-alps/2013/stage-1b,2013
3,3,3,-,97,RODRIGUEZ Michael,23,Team Colombia,,0:160:16,+.,tour-of-the-alps/2013/stage-1b,2013
4,4,7,▲3,143,JANSE VAN RENSBURG Jacques,25,MTN - Qhubeka,,0:440:44,+.,tour-of-the-alps/2013/stage-1b,2013
5,5,6,▲1,165,KOCHETKOV Pavel,27,RusVelo,,0:490:49,+.,tour-of-the-alps/2013/stage-1b,2013
6,6,5,▼1,114,MOYANO Enzo Josué,24,Caja Rural - Seguros RGA,,0:500:50,+.,tour-of-the-alps/2013/stage-1b,2013
7,7,4,▼3,174,DAL SANTO Nicola,24,Ceramica Flaminia - Fondriest,,0:590:59,+.,tour-of-the-alps/2013/stage-1b,2013
8,8,8,-,138,XU Gang,29,Champion System Pro Cycling Team,,2:052:05,+.,tour-of-the-alps/2013/stage-1b,2013
9,9,11,▲2,54,KENNAUGH Peter,23,Sky Procycling,,6:036:03,+.,tour-of-the-alps/2013/stage-1b,2013
10,10,17,▲7,55,KNEES Christian,32,Sky Procycling,,",,6:03",+.,tour-of-the-alps/2013/stage-1b,2013
11,11,19,▲8,57,SIUTSOU Kanstantsin,30,Sky Procycling,,",,6:03",+.,tour-of-the-alps/2013/stage-1b,2013
12,12,40,▲28,51,WIGGINS Bradley,32,Sky Procycling,,",,6:03",+.,tour-of-the-alps/2013/stage-1b,2013
13,13,62,▲49,52,CATALDO Dario,28,Sky Procycling,,",,6:03",+.,tour-of-the-alps/2013/stage-1b,2013
14,14,92,▲78,58,ZANDIO Xabier,36,Sky Procycling,,",,6:03",+.,tour-of-the-alps/2013/stage-1b,2013
15,15,44,▲29,16,KANGERT Tanel,26,Astana Pro Team,,6:166:16,+.,tour-of-the-alps/2013/stage-1b,2013
16,16,50,▲34,12,TIRALONGO Paolo,35,Astana Pro Team,,",,6:16",+.,tour-of-the-alps/2013/stage-1b,2013
17,17,57,▲40,11,NIBALI Vincenzo,28,Astana Pro Team,,",,6:16",+.,tour-of-the-alps/2013/stage-1b,2013
18,18,60,▲42,15,AGNOLI Valerio,28,Astana Pro Team,,",,6:16",+.,tour-of-the-alps/2013/stage-1b,2013
19,19,61,▲42,18,KESSIAKOFF Fredrik,32,Astana Pro Team,,",,6:16",+.,tour-of-the-alps/2013/stage-1b,2013
20,20,65,▲45,17,DYACHENKO Alexandr,29,Astana Pro Team,,",,6:16",+.,tour-of-the-alps/2013/stage-1b,2013
21,21,69,▲48,13,ARU Fabio,22,Astana Pro Team,,",,6:16",+.,tour-of-the-alps/2013/stage-1b,2013
22,22,33,▲11,46,SERPA José Rodolfo,33,Lampre - Merida,,6:196:19,+.,tour-of-the-alps/2013/stage-1b,2013
23,23,34,▲11,45,NIEMIEC Przemysław,33,Lampre - Merida,,",,6:19",+.,tour-of-the-alps/2013/stage-1b,2013
24,24,45,▲21,41,SCARPONI Michele,33,Lampre - Merida,,",,6:19",+.,tour-of-the-alps/2013/stage-1b,2013
25,25,46,▲21,44,ĐURASEK Kristijan,25,Lampre - Merida,,",,6:19",+.,tour-of-the-alps/2013/stage-1b,2013
26,26,47,▲21,42,CATTANEO Mattia,22,Lampre - Merida,,",,6:19",+.,tour-of-the-alps/2013/stage-1b,2013
27,27,28,▲1,151,BÁRTA Jan,28,Team NetApp – Endura,,6:276:27,+.,tour-of-the-alps/2013/stage-1b,2013
28,28,39,▲11,152,HUZARSKI Bartosz,32,Team NetApp – Endura,,",,6:27",+.,tour-of-the-alps/2013/stage-1b,2013
29,29,49,▲20,158,DE LA CRUZ David,23,Team NetApp – Endura,,",,6:27",+.,tour-of-the-alps/2013/stage-1b,2013
30,30,52,▲22,153,KÖNIG Leopold,25,Team NetApp – Endura,,",,6:27",+.,tour-of-the-alps/2013/stage-1b,2013
31,31,14,▼17,84,CANOLA Marco,24,Bardiani Valvole - CSF Inox ,,6:386:38,+.,tour-of-the-alps/2013/stage-1b,2013
32,32,16,▼16,64,GAUTIER Cyril,25,Team Europcar,,",,6:38",+.,tour-of-the-alps/2013/stage-1b,2013
33,33,31,▼2,82,PIRAZZI Stefano,26,Bardiani Valvole - CSF Inox ,,",,6:38",+.,tour-of-the-alps/2013/stage-1b,2013
34,34,70,▲36,86,ZARDINI Edoardo,23,Bardiani Valvole - CSF Inox ,,",,6:38",+.,tour-of-the-alps/2013/stage-1b,2013
35,35,75,▲40,87,BONGIORNO Francesco Manuel,22,Bardiani Valvole - CSF Inox ,,",,6:38",+.,tour-of-the-alps/2013/stage-1b,2013
