,rank,prev,standing,bib,rider,age,team,uci,point,time,stage,year
1,1,1,+0:00,55,SIVAKOV Pavel,21,Team Sky,20,30,4:58:17,tour-of-the-alps/2019/stage-2,2019
2,2,2,+0:08,24,HIRT Jan,28,Astana Pro Team,10,18,4:58:21,tour-of-the-alps/2019/stage-2,2019
3,3,3,+0:23,93,CATTANEO Mattia,28,Androni Giocattoli - Sidermec,5,12,4:58:34,tour-of-the-alps/2019/stage-2,2019
4,4,17,+1:50,95,MASNADA Fausto,25,Androni Giocattoli - Sidermec,,7,4:58:39,tour-of-the-alps/2019/stage-2,2019
5,5,5,+0:39,6,PERNSTEINER Hermann,28,Bahrain Merida,,4,4:58:46,tour-of-the-alps/2019/stage-2,2019
6,6,4,+0:39,13,MAJKA Rafał,29,BORA - hansgrohe,,3,4:58:46,tour-of-the-alps/2019/stage-2,2019
7,7,6,+0:39,1,NIBALI Vincenzo,34,Bahrain Merida,,2,4:58:46,tour-of-the-alps/2019/stage-2,2019
8,8,7,+0:43,53,GEOGHEGAN HART Tao,24,Team Sky,,1,4:59:00,tour-of-the-alps/2019/stage-2,2019
9,9,8,+0:53,21,BILBAO Pello,29,Astana Pro Team,,,4:59:00,tour-of-the-alps/2019/stage-2,2019
10,10,9,+1:02,26,STALNOV Nikita,27,Astana Pro Team,,,4:59:09,tour-of-the-alps/2019/stage-2,2019
11,11,10,+1:08,142,THALMANN Roland,25,Team Vorarlberg Santic,,,4:59:19,tour-of-the-alps/2019/stage-2,2019
12,12,20,+2:21,27,ZEITS Andrey,32,Astana Pro Team,,,4:59:22,tour-of-the-alps/2019/stage-2,2019
13,13,11,+1:16,94,FLÓREZ Miguel Eduardo,23,Androni Giocattoli - Sidermec,,,4:59:23,tour-of-the-alps/2019/stage-2,2019
14,14,12,+1:24,41,VLASOV Aleksandr,23,Gazprom-RusVelo,,,4:59:31,tour-of-the-alps/2019/stage-2,2019
15,15,22,+2:58,23,CATALDO Dario,34,Astana Pro Team,,,4:59:47,tour-of-the-alps/2019/stage-2,2019
16,16,13,+1:40,37,VUILLERMOZ Alexis,30,AG2R La Mondiale,,,4:59:47,tour-of-the-alps/2019/stage-2,2019
17,17,14,+1:44,52,FROOME Chris,33,Team Sky,,,4:59:51,tour-of-the-alps/2019/stage-2,2019
18,18,15,+1:47,112,CARBONI Giovanni,23,Bardiani - CSF,,,4:59:54,tour-of-the-alps/2019/stage-2,2019
19,19,16,+1:47,132,GABBURO Davide,26,Neri Sottoli - Selle Italia - KTM,,,4:59:54,tour-of-the-alps/2019/stage-2,2019
20,20,24,+3:08,45,RYBALKIN Aleksey,25,Gazprom-RusVelo,,,4:59:57,tour-of-the-alps/2019/stage-2,2019
21,21,23,+3:08,66,MAISON Jérémy,25,Team Arkéa Samsic,,,4:59:57,tour-of-the-alps/2019/stage-2,2019
22,22,18,+1:52,125,ITURRIA Mikel,27,Euskadi Basque Country - Murias,,,4:59:59,tour-of-the-alps/2019/stage-2,2019
23,23,27,+3:41,44,NYCH Artem,24,Gazprom-RusVelo,,,4:59:59,tour-of-the-alps/2019/stage-2,2019
24,24,25,+3:13,103,AMEZQUETA Julen,25,Caja Rural - Seguros RGA,,,5:00:02,tour-of-the-alps/2019/stage-2,2019
25,25,44,+7:33,141,SCHELLING Patrick,28,Team Vorarlberg Santic,,,5:00:06,tour-of-the-alps/2019/stage-2,2019
